Precinct,Anti-Arab,Anti-Asian,Anti-Black,Anti-Catholic,Anti-Female Homosexual (Lesbian),Anti-Hispanic,Anti-Islamic (Muslim),Anti-Jewish,Anti-Male Homosexual (Gay),Anti-Mormon,Anti-Multi-Racial Groups,Anti-Other Christian,Anti-Other Ethnicity/National Origin,Anti-Other Religion,Anti-Transgender,Anti-White,Total
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,6
71,0,0,0,0,0,0,0,14,1,0,0,0,2,0,0,1,18
72,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
73,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
79,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,8
81,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,4
83,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,5
84,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,8
88,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3
90,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,10
94,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,7
100,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,7
101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
105,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
106,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
107,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
108,0,1,0,0,1,0,0,4,0,0,0,0,0,0,1,0,7
109,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4
110,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,4
111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
112,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3
113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
114,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,5
115,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
120,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,5,9
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3
123,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Total,2,5,45,4,5,7,16,186,35,1,1,2,12,2,11,19,353
